frame,t,x,y,v,a,jerk,jounce
79,2.6333333333333333,501.0,1349.0,2913.0139031594067,88367.06462031468,1310263.2995744413,9822527.570453625
80,2.6666666666666665,501.0,1349.0,5891.137641354313,131046.09518568718,1980341.1406682953,590135.7391989961
81,2.7,501.0,1349.0,5963.137641354313,220389.8073315344,1349605.6821877076,-18957279.02516235
82,2.7333333333333334,826.0,434.0,8941.261379549218,221019.8073315344,716522.5389908052,-8898318.057255829
83,2.7666666666666666,826.0,411.0,9055.261379549218,268157.97659758804,756384.4783706524,-9588469.361997359
84,2.8,826.0,410.0,9219.776680150517,271445.4392229112,77291.24819098113,-9767817.325792383
85,2.8333333333333335,501.0,1349.0,9330.566343137329,273310.7264769868,105196.65665116013,143698.67162189895
86,2.8666666666666667,826.0,372.0,9372.566343137329,278458.5496663219,86871.15963244102,-198648.94336504675
87,2.9,826.0,376.0,9605.109825318896,279102.1371191495,91953.39376015689,76263.98150928579
88,2.933333333333333,501.0,1349.0,9552.664678904945,284588.775916999,91955.4250663933,10319846.462212937
89,2.966666666666667,826.0,338.0,9685.802695520715,285232.49879024236,779943.1579076858,10470510.273600418
90,3.0,825.0,329.0,9809.446686822439,336584.98644417804,789989.443306421,9804036.282265434
91,3.033333333333333,811.0,324.0,12879.77393131224,337898.4616773372,1433545.5767253814,-1536279.7820508385
92,3.0666666666666664,501.0,1349.0,12845.137724638244,432154.69155920355,687570.7911696986,-30786105.413287252
93,3.1,501.0,1349.0,15967.910115541996,383736.51442198374,-618861.450827102,-19668170.17496023
94,3.1333333333333333,773.0,323.0,12814.32178793684,390897.2615040633,-623640.55382765,-13950233.954181165
95,3.1666666666666665,762.0,323.0,10587.066887077166,342160.4775001404,-1548877.047772513,-11917235.279251512
96,3.2,501.0,1349.0,10562.280906758479,287638.79165256245,-1418122.9057777508,23159357.296607234
97,3.2333333333333334,743.0,324.0,10165.268604759827,247618.9504482903,-4919.89466536413,27226915.406092286
98,3.2666666666666666,251.0,1136.0,8024.945670605957,287310.79867487156,397004.78796173504,7546965.902654718
99,3.3,501.0,1349.0,11100.406961136361,274085.936312406,498211.16551161715,14848080.958566984
100,3.3333333333333335,695.0,323.0,12904.660885862693,320524.876375646,1386876.8518662008,914817.9101902783
101,3.3666666666666667,222.0,1141.0,12854.127180382937,366544.39310348604,559199.0261909689,-21528610.519169223
102,3.4,501.0,1349.0,13189.695118621603,357804.81145504396,-48363.84941174758,-6274752.045131038
103,3.433333333333333,666.0,324.0,12205.690808285673,363320.1364760362,140882.22318223314,-8998180.004174154
104,3.466666666666667,647.0,323.0,12168.156279259882,367196.95966719283,-648242.5163566914,-11478324.440450523
105,3.5,501.0,1349.0,12479.72353022781,320103.96871892345,-624339.4061811352,512130.85754851124
106,3.533333333333333,627.0,323.0,9418.71597153645,325574.33258845046,-614100.4591867905,-11596845.983155
107,3.5666666666666664,609.0,323.0,9389.910422061068,279163.93810647074,-1397462.4717248017,-11670635.063133422
108,3.6,501.0,1349.0,9401.910422061068,232410.16780679702,-1392142.7967290187,186175.0608662626
109,3.6333333333333333,593.0,323.0,6363.904767785134,186354.41832453618,-1385050.8010003841,-16718.6800727183
110,3.6666666666666665,574.0,323.0,3358.7811004671084,140073.44774010475,-1393257.3754005332,10300805.540018473
111,3.6999999999999997,569.0,323.0,3382.7811004671084,93470.59329783396,-698330.4316658193,31258643.022802066
112,3.7333333333333334,555.0,323.0,3376.8941540254264,93518.08562905013,690652.1594529378,31117458.340270735
113,3.7666666666666666,537.0,323.0,3403.939598140742,139514.07059469647,1376166.7910188963,10285517.660634134
114,3.8,531.0,323.0,6424.962989864724,185262.5383636432,1376353.3368285464,92217.08693565111
115,3.8333333333333335,501.0,1349.0,9403.976160568225,231270.95971659958,1382314.5968146059,-10120407.902440468
116,3.8666666666666667,498.0,324.0,9431.02160468354,277416.8448179503,701659.4766658485,-30982164.03114258
117,3.9,497.0,323.0,9431.584072654274,278048.25816098944,-683163.0052615664,-31096169.21600484
118,3.933333333333333,501.0,1349.0,9362.688255402321,231872.64446717914,-1371418.471067808,-10235083.71973764
119,3.966666666666667,464.0,324.0,6359.66486367834,186620.36008980224,-1365501.9199107424,-58132.8666400061
120,4.0,460.0,323.0,3371.6516929748386,140839.1831397963,-1375293.9955104752,19978821.841646314
121,4.033333333333333,454.0,323.0,3317.7061379946426,94934.09372243725,-33580.4638009883,40930207.43553045
122,4.066666666666666,435.0,323.0,3323.682408513723,138600.48555306377,1353386.500191555,30886521.549034495
123,4.1,425.0,323.0,6292.9162182919645,185159.86040187423,2025520.9728013114,20408759.34889037
124,4.133333333333333,420.0,324.0,9314.857935534961,273635.2170731512,2713970.4567842465,-221881.00638318137
125,4.166666666666667,501.0,1349.0,12185.159577234705,366091.22418749065,2010728.9057090995,-20451685.290126108
126,4.2,53.0,1254.0,15237.00140534258,407683.81078709115,1350524.7707758392,-20583008.949388344
127,4.233333333333333,387.0,323.0,15061.695614140506,456126.20890588,638528.3090832097,-20657671.253485657
128,4.266666666666667,377.0,323.0,15176.595401613242,450252.36472597177,-26653.312789871357,-19763833.88153989
129,4.3,501.0,1349.0,14960.311421762872,454349.3213865552,-679060.616352783,-9425363.701630864
130,4.333333333333333,100.0,1253.0,15117.293004177467,404981.6569691196,-655010.8928985957,1130393.7551273454
131,4.366666666666666,343.0,323.0,12104.35128693447,410681.9285266488,-603701.0326776266,-9525127.70284479
132,4.4,339.0,323.0,12326.884664996822,364734.9214572778,-1290019.4064215817,237279.890953285
133,4.433333333333334,501.0,1349.0,12342.934330528566,324680.63476521,-587882.373280741,9909637.905360645
134,4.466666666666667,311.0,323.0,9537.27659313594,325542.76323856175,-629376.8793975387,-589792.0574658588
135,4.5,305.0,323.0,9580.031221186191,282722.17613870744,-627201.843778465,9713476.64938973
136,4.533333333333333,501.0,1349.0,9523.031221186191,283729.3069866641,18188.23056177675,20140145.509711783
137,4.566666666666666,280.0,323.0,9546.40859397526,283934.72484282585,715474.5235356541,10386832.7354157
138,4.6,267.0,323.0,9570.46692927259,331427.6085557077,710643.7462561569,10213083.19810863
139,4.633333333333333,271.0,323.0,12626.347476339182,331310.97459323634,1396346.7367428963,-412497.81858406705
140,4.666666666666667,501.0,1349.0,12594.83885936021,424517.39100523404,683143.8916838861,-21403975.899083685
141,4.7,501.0,1349.0,15698.719406426802,376853.9007054954,-30584.98986268281,-20992579.42675031
142,4.733333333333333,310.0,323.0,12601.681554262215,422478.39168105525,-716361.4034328011,-31167847.140388213
