frame,t_sec,x,y
171,5.7,479,502
172,5.733333333333333,479,507
173,5.766666666666667,479,527
174,5.8,479,535
175,5.833333333333333,473,551
176,5.866666666666666,454,556
177,5.9,501,1349
178,5.933333333333334,440,555
179,5.966666666666667,501,1349
180,6.0,501,1349
181,6.033333333333333,501,1349
182,6.066666666666666,380,555
183,6.1,501,1349
184,6.133333333333333,363,565
185,6.166666666666667,364,584
186,6.2,501,1349
187,6.233333333333333,363,604
188,6.266666666666667,363,623
189,6.3,501,1349
190,6.333333333333333,364,637
191,6.366666666666666,364,656
192,6.4,364,661
193,6.433333333333334,364,676
194,6.466666666666667,364,695
195,6.5,363,700
196,6.533333333333333,501,1349
197,6.566666666666666,364,733
198,6.6,501,1349
199,6.633333333333333,364,752
200,6.666666666666667,501,1349
201,6.7,373,780
202,6.733333333333333,392,785
203,6.766666666666667,501,1349
204,6.8,412,785
205,6.833333333333333,426,785
206,6.866666666666666,501,1349
207,6.8999999999999995,501,1349
208,6.933333333333334,465,786
209,6.966666666666667,475,785
210,7.0,501,1349
211,7.033333333333333,514,787
212,7.066666666666666,524,786
213,7.1,527,787
214,7.133333333333333,533,785
215,7.166666666666667,547,785
216,7.2,501,1349
217,7.233333333333333,566,785
218,7.266666666666667,569,785
219,7.3,501,1349
220,7.333333333333333,550,785
221,7.366666666666666,536,785
222,7.3999999999999995,501,1349
223,7.433333333333334,517,785
224,7.466666666666667,497,785
225,7.5,493,785
226,7.533333333333333,478,785
227,7.566666666666666,460,785
228,7.6,53,1152
229,7.633333333333333,501,1349
230,7.666666666666667,421,786
231,7.7,420,786
232,7.733333333333333,501,1349
233,7.766666666666667,387,785
234,7.8,372,792
235,7.833333333333333,363,805
236,7.866666666666666,134,1137
237,7.8999999999999995,135,1133
238,7.933333333333334,364,844
239,7.966666666666667,363,854
240,8.0,501,1349
241,8.033333333333333,364,873
242,8.066666666666666,373,897
243,8.1,378,901
244,8.133333333333333,392,901
245,8.166666666666666,501,1349
246,8.2,416,901
247,8.233333333333333,431,901
248,8.266666666666666,450,901
249,8.3,455,901
250,8.333333333333334,469,901
251,8.366666666666667,474,901
252,8.4,501,1349
253,8.433333333333334,479,912
254,8.466666666666667,479,931
255,8.5,501,1349
256,8.533333333333333,479,950
257,8.566666666666666,479,969
258,8.6,56,966
259,8.633333333333333,479,984
260,8.666666666666666,479,1003
261,8.7,479,1008
262,8.733333333333333,501,1349
263,8.766666666666666,464,1017
264,8.8,460,1017
265,8.833333333333334,454,1017
266,8.866666666666667,435,1018
267,8.9,425,1017
268,8.933333333333334,416,1018
269,8.966666666666667,396,1017
270,9.0,388,1017
271,9.033333333333333,381,1017
272,9.066666666666666,363,1017
273,9.1,357,1018
274,9.133333333333333,343,1018
275,9.166666666666666,324,1017
276,9.2,319,1018
277,9.233333333333333,310,1017
278,9.266666666666666,501,1349
279,9.3,501,1349
280,9.333333333333334,282,1017
281,9.366666666666667,296,1018
282,9.4,311,1017
283,9.433333333333334,316,1017
284,9.466666666666667,335,1017
285,9.5,340,1017
286,9.533333333333333,354,1018
287,9.566666666666666,364,1027
288,9.6,363,1036
289,9.633333333333333,363,1041
290,9.666666666666666,364,1061
291,9.7,364,1065
292,9.733333333333333,363,1074
293,9.766666666666666,501,1349
294,9.8,501,1349
295,9.833333333333334,363,1113
296,9.866666666666667,364,1123
297,9.9,501,1349
298,9.933333333333334,378,1132
299,9.966666666666667,392,1132
300,10.0,397,1133
301,10.033333333333333,501,1349
302,10.066666666666666,426,1133
303,10.1,431,1133
304,10.133333333333333,501,1349
305,10.166666666666666,456,1133
306,10.2,464,1133
307,10.233333333333333,473,1138
308,10.266666666666666,479,1151
309,10.3,479,1158
310,10.333333333333334,133,1134
311,10.366666666666667,479,1190
312,10.4,479,1191
313,10.433333333333334,479,1195
314,10.466666666666667,479,1215
315,10.5,479,1219
316,10.533333333333333,501,1349
317,10.566666666666666,508,1248
318,10.6,509,1247
319,10.633333333333333,501,1349
320,10.666666666666666,541,1248
321,10.7,546,1248
322,10.733333333333333,501,1349
323,10.766666666666666,580,1247
324,10.8,501,1349
325,10.833333333333334,594,1242
326,10.866666666666667,594,1219
327,10.9,594,1223
328,10.933333333333334,55,1003
329,10.966666666666667,594,1186
330,11.0,594,1186
331,11.033333333333333,594,1180
332,11.066666666666666,593,1161
333,11.1,594,1147
334,11.133333333333333,594,1142
335,11.166666666666666,501,1349
336,11.2,501,1349
337,11.233333333333333,618,1133
338,11.266666666666666,624,1133
339,11.3,629,1133
340,11.333333333333334,643,1133
341,11.366666666666667,657,1132
342,11.4,662,1133
343,11.433333333333334,501,1349
344,11.466666666666667,695,1133
345,11.5,695,1133
346,11.533333333333333,710,1122
347,11.566666666666666,710,1106
348,11.6,711,1110
349,11.633333333333333,501,1349
350,11.666666666666666,222,910
351,11.7,501,1349
352,11.733333333333333,501,1349
353,11.766666666666666,710,1046
354,11.8,710,1031
355,11.833333333333334,710,1026
356,11.866666666666667,501,1349
357,11.9,299,905
358,11.933333333333334,739,1017
359,11.966666666666667,501,1349
360,12.0,759,1017
361,12.033333333333333,778,1017
362,12.066666666666666,501,1349
363,12.1,798,1017
364,12.133333333333333,811,1017
365,12.166666666666666,395,907
366,12.2,826,994
367,12.233333333333333,827,987
368,12.266666666666666,827,973
369,12.3,826,954
370,12.333333333333334,827,953
371,12.366666666666667,827,934
372,12.4,827,929
373,12.433333333333334,827,915
374,12.466666666666667,501,1349
375,12.5,827,891
376,12.533333333333333,826,873
377,12.566666666666666,501,1349
378,12.6,826,857
379,12.633333333333333,826,834
380,12.666666666666666,501,1349
381,12.7,826,819
382,12.733333333333333,826,800
383,12.766666666666666,501,1349
384,12.8,501,1349
385,12.833333333333334,826,761
386,12.866666666666667,826,756
387,12.9,501,1349
388,12.933333333333334,826,737
389,12.966666666666667,826,717
390,13.0,501,1349
391,13.033333333333333,826,699
392,13.066666666666666,825,676
393,13.1,811,671
394,13.133333333333333,806,671
395,13.166666666666666,782,671
396,13.2,773,671
397,13.233333333333333,763,670
398,13.266666666666666,743,670
399,13.299999999999999,734,671
400,13.333333333333334,501,1349
401,13.366666666666667,710,646
402,13.4,710,641
403,13.433333333333334,501,1349
404,13.466666666666667,710,608
405,13.5,710,603
406,13.533333333333333,710,603
407,13.566666666666666,710,583
408,13.6,710,569
409,13.633333333333333,710,564
410,13.666666666666666,696,555
411,13.7,691,555
412,13.733333333333333,686,555
413,13.766666666666666,666,555
414,13.799999999999999,657,555
415,13.833333333333334,647,555
416,13.866666666666667,628,556
417,13.9,618,555
418,13.933333333333334,614,555
419,13.966666666666667,594,555
420,14.0,590,555
421,14.033333333333333,575,555
422,14.066666666666666,556,555
423,14.1,551,555
424,14.133333333333333,537,555
425,14.166666666666666,829,880
426,14.2,517,555
427,14.233333333333333,498,555
428,14.266666666666666,829,846
429,14.299999999999999,479,556
430,14.333333333333334,464,555
431,14.366666666666667,830,811
432,14.4,830,806
433,14.433333333333334,426,555
434,14.466666666666667,829,778
435,14.5,829,774
436,14.533333333333333,397,555
437,14.566666666666666,377,555
438,14.6,829,739
439,14.633333333333333,501,1349
440,14.666666666666666,501,1349
441,14.7,501,1349
442,14.733333333333333,501,1349
443,14.766666666666666,501,1349
444,14.799999999999999,501,1349
445,14.833333333333334,501,1349
446,14.866666666666667,501,1349
447,14.9,501,1349
448,14.933333333333334,501,1349
449,14.966666666666667,501,1349
450,15.0,501,1349
451,15.033333333333333,501,1349
452,15.066666666666666,501,1349
453,15.1,501,1349
454,15.133333333333333,501,1349
455,15.166666666666666,373,556
456,15.2,387,556
457,15.233333333333333,392,555
458,15.266666666666666,411,555
459,15.299999999999999,416,556
460,15.333333333333334,431,556
461,15.366666666666667,501,1349
462,15.4,455,556
463,15.433333333333334,469,555
464,15.466666666666667,501,1349
465,15.5,488,555
466,15.533333333333333,497,555
467,15.566666666666666,501,1349
468,15.6,473,556
469,15.633333333333333,459,555
470,15.666666666666666,501,1349
471,15.7,440,556
472,15.733333333333333,421,556
473,15.766666666666666,501,1349
474,15.799999999999999,401,555
475,15.833333333333334,387,555
476,15.866666666666667,363,575
477,15.9,363,579
478,15.933333333333334,501,1349
479,15.966666666666667,363,606
