object_id,frame,t_sec,x,y
pacman,33,1.1,788,906
ghost_red,33,1.1,882,1347
ghost_red,33,1.1,300,672
ghost_cyan,33,1.1,250,410
ghost_mag,33,1.1,247,661
pacman,34,1.1333333333333333,971,324
ghost_red,34,1.1333333333333333,882,1347
ghost_red,34,1.1333333333333333,311,679
ghost_cyan,34,1.1333333333333333,250,420
ghost_mag,34,1.1333333333333333,240,675
pacman,35,1.1666666666666667,759,906
ghost_red,35,1.1666666666666667,882,1347
ghost_red,35,1.1666666666666667,308,677
ghost_cyan,35,1.1666666666666667,250,434
ghost_mag,35,1.1666666666666667,229,679
pacman,36,1.2,754,906
ghost_red,36,1.2,882,1347
ghost_red,36,1.2,319,678
ghost_cyan,36,1.2,250,444
ghost_mag,36,1.2,221,679
pacman,37,1.2333333333333334,739,906
ghost_red,37,1.2333333333333334,882,1347
ghost_red,37,1.2333333333333334,328,679
ghost_cyan,37,1.2333333333333334,250,453
ghost_mag,37,1.2333333333333334,211,679
pacman,38,1.2666666666666666,725,906
ghost_red,38,1.2666666666666666,882,1347
ghost_red,38,1.2666666666666666,356,685
ghost_cyan,38,1.2666666666666666,250,473
ghost_mag,38,1.2666666666666666,193,685
pacman,39,1.3,1019,343
ghost_red,39,1.3,882,1347
ghost_red,39,1.3,355,678
ghost_cyan,39,1.3,250,478
ghost_mag,39,1.3,193,685
pacman,40,1.3333333333333333,706,906
ghost_red,40,1.3333333333333333,882,1347
ghost_red,40,1.3333333333333333,364,680
ghost_cyan,40,1.3333333333333333,250,487
ghost_mag,40,1.3333333333333333,182,685
pacman,41,1.3666666666666667,1019,368
ghost_red,41,1.3666666666666667,882,1347
ghost_red,41,1.3666666666666667,973,1353
ghost_cyan,41,1.3666666666666667,250,507
ghost_mag,41,1.3666666666666667,173,684
pacman,42,1.4,688,905
ghost_red,42,1.4,882,1347
ghost_red,42,1.4,348,647
ghost_cyan,42,1.4,250,511
ghost_mag,42,1.4,173,684
pacman,43,1.4333333333333333,1019,382
ghost_red,43,1.4333333333333333,882,1347
ghost_red,43,1.4333333333333333,349,637
ghost_cyan,43,1.4333333333333333,250,521
ghost_mag,43,1.4333333333333333,168,677
pacman,44,1.4666666666666666,658,906
ghost_red,44,1.4666666666666666,882,1347
ghost_red,44,1.4666666666666666,351,617
ghost_cyan,44,1.4666666666666666,250,540
ghost_mag,44,1.4666666666666666,158,677
pacman,45,1.5,648,906
ghost_red,45,1.5,882,1347
ghost_red,45,1.5,973,1353
ghost_cyan,45,1.5,249,545
ghost_mag,45,1.5,153,677
pacman,46,1.5333333333333334,1019,420
ghost_red,46,1.5333333333333334,882,1347
ghost_red,46,1.5333333333333334,364,613
ghost_cyan,46,1.5333333333333334,250,555
ghost_mag,46,1.5333333333333334,148,684
pacman,47,1.5666666666666667,616,905
ghost_red,47,1.5666666666666667,882,1347
ghost_red,47,1.5666666666666667,356,579
ghost_cyan,47,1.5666666666666667,250,574
ghost_mag,47,1.5666666666666667,139,676
pacman,48,1.6,612,905
ghost_red,48,1.6,882,1347
ghost_red,48,1.6,359,574
ghost_cyan,48,1.6,250,579
ghost_mag,48,1.6,134,676
pacman,49,1.6333333333333333,597,905
ghost_red,49,1.6333333333333333,882,1347
ghost_red,49,1.6333333333333333,354,557
ghost_cyan,49,1.6333333333333333,250,598
ghost_mag,49,1.6333333333333333,124,677
pacman,50,1.6666666666666667,596,925
ghost_red,50,1.6666666666666667,882,1347
ghost_red,50,1.6666666666666667,376,559
ghost_cyan,50,1.6666666666666667,250,612
ghost_mag,50,1.6666666666666667,120,677
pacman,51,1.7,1004,439
ghost_red,51,1.7,882,1347
ghost_red,51,1.7,381,557
ghost_cyan,51,1.7,250,617
ghost_mag,51,1.7,115,676
pacman,52,1.7333333333333334,596,939
ghost_red,52,1.7333333333333334,882,1347
ghost_red,52,1.7333333333333334,393,559
ghost_cyan,52,1.7333333333333334,250,632
ghost_mag,52,1.7333333333333334,110,677
pacman,53,1.7666666666666666,594,959
ghost_red,53,1.7666666666666666,882,1347
ghost_red,53,1.7666666666666666,406,557
ghost_cyan,53,1.7666666666666666,249,647
ghost_mag,53,1.7666666666666666,100,676
pacman,54,1.8,596,964
ghost_red,54,1.8,882,1347
ghost_red,54,1.8,417,559
ghost_cyan,54,1.8,249,656
ghost_mag,54,1.8,95,683
pacman,55,1.8333333333333333,961,439
ghost_red,55,1.8333333333333333,882,1347
ghost_red,55,1.8333333333333333,426,560
ghost_cyan,55,1.8333333333333333,248,666
ghost_mag,55,1.8333333333333333,88,683
pacman,56,1.8666666666666667,599,994
ghost_red,56,1.8666666666666667,882,1347
ghost_red,56,1.8666666666666667,449,557
ghost_cyan,56,1.8666666666666667,258,676
ghost_mag,56,1.8666666666666667,80,676
pacman,57,1.9,599,997
ghost_red,57,1.9,882,1347
ghost_red,57,1.9,450,558
ghost_cyan,57,1.9,263,676
ghost_mag,57,1.9,76,676
pacman,58,1.9333333333333333,927,439
